n,train,val,test,best_val
176,0.000273297,0.001148515,0.000787535,0.001117651
177,0.0002713961,0.001124636,0.0007771364,0.001117651
178,0.0002704848,0.001115148,0.0007762597,0.001115148
179,0.0002743474,0.001148565,0.0008063964,0.001115148
180,0.0002717756,0.001122544,0.0007787677,0.001115148
181,0.000278155,0.001153184,0.0007939338,0.001115148
182,0.0002740262,0.001123801,0.0007701107,0.001115148
183,0.0002694686,0.001119912,0.0007839614,0.001115148
184,0.0002773303,0.001128791,0.0007756407,0.001115148
185,0.0002720692,0.00112564,0.0007794466,0.001115148
186,0.0002691207,0.001120224,0.0007730882,0.001115148
187,0.0002736435,0.001127284,0.0007817866,0.001115148
188,0.0002700252,0.001117111,0.0007678397,0.001115148
189,0.0002691604,0.001116329,0.0007820969,0.001115148
190,0.0002709067,0.001111257,0.0007709259,0.001111257
191,0.0002680357,0.001117456,0.0007794997,0.001111257
192,0.0002670276,0.001120995,0.0007744967,0.001111257
193,0.0002659263,0.001115808,0.0007726034,0.001111257
194,0.0002667462,0.001104981,0.0007648433,0.001104981
195,0.0002651047,0.001111972,0.0007691429,0.001104981
196,0.0002663667,0.001116824,0.0007782223,0.001104981
197,0.000267776,0.001122209,0.0007718234,0.001104981
198,0.0002666492,0.001113198,0.0007681512,0.001104981
199,0.0002689815,0.001111142,0.0007918498,0.001104981
200,0.0002674595,0.001114997,0.0007779549,0.001104981
